judet,n_localities,n_locuinte,actual_coverage,predicted_coverage,current_premium_eur,opportunity_eur,addressable_market_eur
Timis,99,336946,0.2200,0.2054,2453060.0000,203497.2169,6738920.0000
Cluj,81,371310,0.1729,0.1660,2112520.0000,188746.9208,7426200.0000
Bihor,101,276549,0.1691,0.1582,1192360.0000,186266.7286,5530980.0000
Iasi,98,378012,0.0947,0.0871,1640460.0000,172288.5785,7560240.0000
Bacau,93,287767,0.1347,0.1323,1126580.0000,127658.2363,5755340.0000
Brasov,58,288233,0.2145,0.2026,1954280.0000,124813.1349,5764660.0000
Mures,102,243422,0.1728,0.1671,1161180.0000,117036.3472,4868440.0000
Sibiu,64,208670,0.1741,0.1584,1148920.0000,113708.9233,4173400.0000
Ilfov,40,297964,0.3464,0.3302,2742800.0000,109306.5387,5959280.0000
Braila,44,141545,0.0874,0.0831,504480.0000,86164.9823,2830900.0000
Satu Mare,65,153885,0.1674,0.1621,653580.0000,70920.0028,3077700.0000
Hunedoara,69,203224,0.1626,0.1627,845000.0000,68523.2626,4064480.0000
Prahova,104,332776,0.1840,0.1783,1925300.0000,65308.5730,6655520.0000
Maramures,76,210279,0.1674,0.1569,886060.0000,61338.3602,4205580.0000
Suceava,114,286809,0.1881,0.1802,1244500.0000,57936.8627,5736180.0000
Neamt,83,232833,0.1123,0.1097,764320.0000,57306.0417,4656660.0000
Botosani,78,183836,0.0775,0.0775,437900.0000,55550.0574,3676720.0000
Dolj,111,305028,0.0874,0.0798,1158640.0000,54217.2840,6100560.0000
Galati,65,237425,0.1425,0.1247,1127540.0000,46351.7222,4748500.0000
Alba,78,162402,0.1427,0.1400,676640.0000,45603.4522,3248040.0000
Vrancea,73,161988,0.1388,0.1368,609980.0000,44913.9568,3239760.0000
Arges,102,293345,0.1344,0.1324,1217520.0000,44494.1156,5866900.0000
Constanta,70,317377,0.1324,0.1226,1897960.0000,44050.8286,6347540.0000
Dambovita,89,223696,0.1364,0.1309,783060.0000,43878.2496,4473920.0000
Gorj,70,165557,0.1081,0.1067,496420.0000,39010.8550,3311140.0000
Vaslui,86,178864,0.0894,0.0852,477720.0000,38849.1821,3577280.0000
Olt,112,196713,0.0840,0.0836,478540.0000,37271.1281,3934260.0000
Buzau,87,205193,0.1493,0.1402,812180.0000,37107.7018,4103860.0000
Teleorman,97,173187,0.0823,0.0817,407240.0000,34175.2619,3463740.0000
Harghita,67,138225,0.1447,0.1388,456760.0000,33645.3425,2764500.0000
Caras-Severin,77,138694,0.1636,0.1533,572460.0000,29668.1426,2773880.0000
Valcea,89,187790,0.1230,0.1137,682640.0000,29636.8564,3755800.0000
Arad,78,204527,0.1655,0.1553,1036340.0000,29627.6863,4090540.0000
Calarasi,55,129587,0.1000,0.0967,353480.0000,26275.2106,2591740.0000
Mehedinti,66,132738,0.0892,0.0795,385920.0000,26222.7580,2654760.0000
Giurgiu,54,123773,0.1192,0.1102,384420.0000,25424.5382,2475460.0000
Ialomita,66,116346,0.1051,0.1012,352940.0000,23521.9940,2326920.0000
Covasna,45,96250,0.1595,0.1551,411760.0000,21398.9011,1925000.0000
Tulcea,51,101291,0.1162,0.1115,388960.0000,16135.8423,2025820.0000
Bistrita-Nasaud,62,126911,0.1658,0.1610,575260.0000,16095.5360,2538220.0000
Salaj,61,107273,0.1669,0.1660,487660.0000,12799.5371,2145460.0000
BUCURESTI,1,1063983,0.4160,0.2914,8852160.0000,0.0000,21279660.0000
