judet,n_locuinte,actual_coverage,predicted_coverage,opportunity_eur,private_pct,combined_score
Timis,336946,0.2200,0.2054,203497.2169,8.1490,186914.2667
Cluj,371310,0.1729,0.1660,188746.9208,4.9462,179411.1555
Iasi,378012,0.0947,0.0871,172288.5785,3.7151,165887.8204
Bihor,276549,0.1691,0.1582,186266.7286,16.1031,156271.9854
Brasov,288233,0.2145,0.2026,124813.1349,2.5775,121596.0210
Bacau,287767,0.1347,0.1323,127658.2363,13.8269,110007.0250
Ilfov,297964,0.3464,0.3302,109306.5387,0.5519,108703.3236
Mures,243422,0.1728,0.1671,117036.3472,10.4964,104751.6864
Braila,141545,0.0874,0.0831,86164.9823,0.1884,86002.6500
Hunedoara,203224,0.1626,0.1627,68523.2626,3.8371,65893.9255
Prahova,332776,0.1840,0.1783,65308.5730,21.2001,51463.0598
Dolj,305028,0.0874,0.0798,54217.2840,8.5475,49583.0501
Neamt,232833,0.1123,0.1097,57306.0417,13.5167,49560.1571
Botosani,183836,0.0775,0.0775,55550.0574,11.4426,49193.6719
Galati,237425,0.1425,0.1247,46351.7222,0.0067,46348.5986
Vrancea,161988,0.1388,0.1368,44913.9568,0.0023,44912.9402
Constanta,317377,0.1324,0.1226,44050.8286,1.2077,43518.8215
Suceava,286809,0.1881,0.1802,57936.8627,32.9783,38830.2836
Vaslui,178864,0.0894,0.0852,38849.1821,1.7768,38158.9219
Olt,196713,0.0840,0.0836,37271.1281,4.3737,35640.9951
Harghita,138225,0.1447,0.1388,33645.3425,1.0442,33294.0208
Gorj,165557,0.1081,0.1067,39010.8550,15.7362,32872.0400
Arad,204527,0.1655,0.1553,29627.6863,1.1756,29279.3957
Teleorman,173187,0.0823,0.0817,34175.2619,22.3364,26541.7534
Dambovita,223696,0.1364,0.1309,43878.2496,40.6956,26021.7515
Caras-Severin,138694,0.1636,0.1533,29668.1426,13.2774,25728.9755
Giurgiu,123773,0.1192,0.1102,25424.5382,0.0003,25424.4697
Ialomita,116346,0.1051,0.1012,23521.9940,7.6705,21717.7367
Covasna,96250,0.1595,0.1551,21398.9011,1.6661,21042.3639
Mehedinti,132738,0.0892,0.0795,26222.7580,23.9419,19944.5313
Calarasi,129587,0.1000,0.0967,26275.2106,29.0793,18634.5618
Bistrita-Nasaud,126911,0.1658,0.1610,16095.5360,9.4996,14566.5292
Tulcea,101291,0.1162,0.1115,16135.8423,18.7042,13117.7628
