county_name,n_locuinte_county,private_penetration_flood,private_penetration_earthquake,private_penetration_fire
Dâmboviţa,223696,0.406722,0.407352,0.406793
Suceava,286809,0.329784,0.329338,0.330227
Călăraşi,129587,0.291210,0.290639,0.290531
Mehedinţi,132738,0.239653,0.239065,0.239540
Teleorman,173187,0.223354,0.223510,0.223227
Prahova,332776,0.211863,0.211974,0.212167
Tulcea,101291,0.187480,0.186868,0.186779
Bihor,276549,0.161035,0.160988,0.161071
Gorj,165557,0.157378,0.157601,0.157106
Bacău,287767,0.138213,0.138362,0.138233
Neamţ,232833,0.135217,0.135561,0.134723
Caraş-Severin,138694,0.132536,0.132940,0.132846
Botoşani,183836,0.114434,0.114548,0.114298
Mureş,243422,0.104900,0.104362,0.105631
Bistriţa-Năsăud,126911,0.094822,0.095902,0.094263
Dolj,305028,0.085474,0.085468,0.085484
Timiş,336946,0.081526,0.081411,0.081532
Ialomiţa,116346,0.076221,0.076891,0.077003
Cluj,371310,0.049562,0.049549,0.049274
Olt,196713,0.043754,0.043622,0.043835
Hunedoara,203224,0.038278,0.038391,0.038445
Iaşi,378012,0.037115,0.037176,0.037163
Braşov,288233,0.026166,0.025514,0.025646
Vaslui,178864,0.017768,0.017768,0.017768
Covasna,96250,0.016987,0.016384,0.016613
Constanţa,317377,0.011932,0.012124,0.012175
Arad,204527,0.011778,0.011832,0.011656
Harghita,138225,0.010345,0.010440,0.010541
Ilfov,297964,0.005470,0.005504,0.005581
Brăila,141545,0.001886,0.001915,0.001851
Galaţi,237425,0.000080,0.000059,0.000063
Vrancea,161988,0.000012,0.000025,0.000031
Giurgiu,123773,0.000000,0.000008,0.000000
